epoch,train_loss,valid_loss,auc
1,0.6734883100181431,0.6353019788861275,0.7377321197628168
2,0.6133250609620825,0.5445703886449337,0.7904882750542934
3,0.5345073433278443,0.44342762902379035,0.8433989735080485
4,0.4897422639580516,0.4123862341046333,0.8373148532246651
5,0.4507690919684125,0.44570868611335757,0.8306938987986303
6,0.4282665241074252,0.3542049013078213,0.8481410084348031
7,0.3842493243418731,0.3415539599955082,0.8756984944242454
8,0.3583385795354843,0.3996362239122391,0.8736812994639792
9,0.3338311231368548,0.4118237916380167,0.8351837843553516
10,0.31703784790906037,0.3639998983591795,0.8658484012916555
11,0.3051411660460683,0.3591399997472763,0.8709157902442596
12,0.28764157442303445,0.3062028791755438,0.8714526243869111
13,0.25890518797488954,0.34905351772904397,0.8729736544577569
14,0.2631930795969901,0.3494644742459059,0.873502354749762
15,0.23926782080685938,0.2859545645304024,0.8814328591298407
16,0.22083022072911263,0.3186779864132404,0.8776506185793416
17,0.21854882503484752,0.31965033933520315,0.8809448280910666
18,0.19819567594435308,0.2823327086865902,0.8717617107114679
19,0.16318436871681893,0.3566035769879818,0.879326191812466
20,0.17784593234975615,0.287949629034847,0.876967375125058
21,0.17550756446049584,0.2742572208866477,0.8697038464979706
22,0.15701443082713462,0.3782000128179789,0.8618058775204769
23,0.14412328420666518,0.32231479287147524,0.8833443140317057
24,0.14833988129560435,0.31745389867573975,0.8785697437023662
25,0.1408015378666195,0.3237351544201374,0.8723880172112278
26,0.12604668015589962,0.31523283952847125,0.8588695574371863
27,0.13404406059243076,0.37518109679222106,0.8582757863400111
28,0.1132583421255861,0.32443506810814143,0.86683259721985
29,0.11670444305841025,0.30657530324533583,0.874437747574079
30,0.10207655419922107,0.3214797603432089,0.8771707213912139
31,0.104524255270598,0.31756121329963205,0.8676541161351194
32,0.09109928185579838,0.3223576948046684,0.8708181840365047
33,0.1110204305475602,0.32739533223211764,0.8724530880163979
34,0.08654645627195184,0.3067942138761282,0.8724856234189827
35,0.09575095024661391,0.3622198825702071,0.8760807854046183
36,0.10518812032585795,0.2920917982235551,0.8797247504941313
37,0.0859990900188878,0.3053881654050201,0.8598618872160269
38,0.07960992843493239,0.32552309120073913,0.8763329347746518
39,0.07598638927031841,0.3012169205583632,0.8723392141073506
40,0.08497277294987111,0.26406028342898935,0.877837697144205
41,0.06864191492862225,0.2867670839652419,0.8721440016918408
42,0.073517829820804,0.30367576610296965,0.878529074449135
43,0.058325263074381496,0.2840929484023945,0.8767314934563172
