epoch,train_loss,valid_loss,auc
1,0.5803419454144193,0.5227351002395153,0.8334675418689962
2,0.4603622298349034,0.46797109991312025,0.8558681665487258
3,0.4234796802138353,0.4645588932558894,0.8533385389977468
4,0.36175292759359656,0.4015672132372856,0.8538103023352286
5,0.32201418241897184,0.39606708809733393,0.8479051267660623
6,0.3044278272367143,0.38000131770968437,0.8507194390896595
7,0.2631766172972592,0.4284046158194542,0.8478075205583075
8,0.2517603708842358,0.3401144318282604,0.8406578658402674
9,0.23695925516741617,0.3856767438352108,0.8185012566799249
10,0.21272541055238092,0.3939806617796421,0.8276030355530611
11,0.19407615457455835,0.43725750856101514,0.8184605874266937
12,0.19932755494079032,0.39917012862861156,0.8338091635961379
13,0.16856194410908532,0.3847584882751107,0.8357124846473568
14,0.1653389585289088,0.40761571675539016,0.8188266107057741
15,0.16003390007301585,0.33694812005851416,0.833321132557364
16,0.1541544282083194,0.34094032950233666,0.8503046127067015
17,0.13098958111670497,0.3812575485557318,0.8286441684357793
18,0.1368440982534901,0.3656006161123514,0.8080736601514523
19,0.13323394487333762,0.3912879228591919,0.8333943372131801
20,0.11155334952009188,0.3549993496388197,0.8360703740757911
21,0.11132561139665641,0.37076278440654276,0.8358751616602815
22,0.10992045118775848,0.37116674722055903,0.8112051926502525
